train_dataset,val_dataset,probe_type,false_to_true_nie,true_to_false_nie,true_base,false_base
cities,sp_en_trans,lr,-0.06418918918918919,-0.005067567567567568,0.1953125,-0.3828125
cities,sp_en_trans,mm,0.013513513513513514,0.03209459459459459,0.1953125,-0.3828125
cities_combined,sp_en_trans,lr,-0.013513513513513514,0.0016891891891891893,0.1953125,-0.3828125
cities_combined,sp_en_trans,mm,0.016891891891891893,-0.015202702702702704,0.1953125,-0.3828125
larger_than,sp_en_trans,lr,-0.08108108108108109,-0.011824324324324325,0.1953125,-0.3828125
larger_than,sp_en_trans,mm,-0.07094594594594594,0.0033783783783783786,0.1953125,-0.3828125
larger_than_combined,sp_en_trans,lr,-0.006756756756756757,0.0,0.1953125,-0.3828125
larger_than_combined,sp_en_trans,mm,-0.006756756756756757,0.0,0.1953125,-0.3828125
